Title,Cover URL,Page URL,People,Date Complex,Date Simple,Duration,Intro,Notes
Filmbarátok Podcast #292,https://i1.sndcdn.com/artworks-bwQHU3vzMX7WjIYb-J3az7g-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/292a,"Blacksheep, Sorter, Gergő, freddyD",2024-12-13T21:08:12.000Z,13 December 2024,3:53:30,"Filmbarátok Podcast #292 (December 2024) 234 perc
Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Borítóképek (00:10:36...","Filmbarátok Podcast #292 (December 2024) 234 perc<br/>Beszélgetnek: Sorter, Blacksheep, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:10:36)<br/>-Villámkérdések (00:20:23)<br/>Karácsonyi rovat 2024<br/>-Zene és szöveg (00:50:40)<br/>-Zendülés a Caine hadihajón (01:01:25)<br/>-A bajusz (01:13:00)<br/>-Az apa három lánya (01:24:25)<br/>-Villám Charlie (01:34:45)<br/>-Drogháború (Drug War) [2012] (01:43:25)<br/>-The Last Stop in Yuma County (01:52:40)<br/>-Deadstream - Kísértetjárás (02:00:15)<br/>-Deadpool (02:08:50)<br/>-Matador [2005] (02:26:20)<br/>-Rocketeer (02:35:25)<br/>-Az utolsó hívás [2019] (02:47:45)<br/>-Terrifier trilógia (03:02:30)<br/>"
Filmbarátok Expressz: Cobra Kai 6. évad (6-10. rész),https://i1.sndcdn.com/artworks-gxLohIzbCqBiGjBq-pO2ZAg-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/cobrakai6_2,"Krisztián, Shirin, freddyD",2024-12-05T20:00:01.000Z,5 December 2024,1:15:04,"Utolsó előtti etapjához érkezett a Cobra Kai, a megszokott trió (Shirin, Krisztián és freddyD) kitárgyalja spoileresen, hogy a hatodik évad kezdetéhez...","Utolsó előtti etapjához érkezett a Cobra Kai, a megszokott trió (Shirin, Krisztián és freddyD) kitárgyalja spoileresen, hogy a hatodik évad kezdetéhez képest javult-e a színvonal, elvégre most már tényleg kinn vannak az univerzum legfantasztikusabb karateversenyén, a Sekai Taikai-on. Aminek lebonyolítását aztán valahogy nem igazán értjük és azt sem, hogy mi ütött jó néhány karakterbe.<br/>"
Filmbarátok Expressz: Mi Vagyunk Azahriah,https://i1.sndcdn.com/artworks-cK0Vtff05oVjWsVL-mg4NZg-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/azahriah,"Ákos, Gergő",2024-12-01T15:00:02.000Z,1 December 2024,1:22:49,"A jelenkori magyar popkultúra megkerülhetetlen előadójáról elkészült egy egész estés dokumentumfilm, amelyben fiktív történetszálakat is becsempésztek...","A jelenkori magyar popkultúra megkerülhetetlen előadójáról elkészült egy egész estés dokumentumfilm, amelyben fiktív történetszálakat is becsempésztek. Két Azahriah rajongó (Gergő és Ákos) összeül és megvitatják, hogy ez a bátor zsánermix összeáll-e rendesen, vagy jobb lett volna-e valami klasszikusabb formátum. Ákos emellett közönségtalálkozós információkkal is szolgál ebben a közel másfél órában.<br/>"
Filmbarátok Podcast #291,https://i1.sndcdn.com/artworks-vWycIBbzI3127ff5-s8N41A-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/291a,"Sorter, Gergő, freddyD",2024-11-28T16:21:41.000Z,28 November 2024,2:57:39,"Filmbarátok Podcast #291 (November 2024) 178 perc
Beszélgetnek: Sorter, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Borítóképek (00:09:22)
-Nép akara...","Filmbarátok Podcast #291 (November 2024) 178 perc<br/>Beszélgetnek: Sorter, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:09:22)<br/>-Nép akarata sorsolás (00:18:12)<br/>-Villámkérdések (00:22:00)<br/>-Gladiátor 2 (00:39:15)<br/>-Eretnek (01:23:04)<br/>-Futni mentem (01:42:55)<br/>-A kaktusz virága (01:58:00)<br/>-Karácsonyi filmosztás 2024 (02:25:02)<br/>"
Filmbarátok Expressz: Pingvin,https://i1.sndcdn.com/artworks-hYTszqGtPz610Gib-FfqYsg-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/pingvin,"Shirin, Gábor, Gergő",2024-11-23T21:00:01.000Z,23 November 2024,1:04:11,"A MAX elhozta a Batman spin-off sorozatát, amelyben Colin Farrell hihetetlen átváltozáson keresztülmenve alakítja Gotham talán második legikonikusabb ...","A MAX elhozta a Batman spin-off sorozatát, amelyben Colin Farrell hihetetlen átváltozáson keresztülmenve alakítja Gotham talán második legikonikusabb gonoszát. Shirin, Gábor és Gergő összeült, hogy tényleg olyan jól sikerült-e a sorozat, mint amilyen az általános visszhangja<br/>"
Filmbarátok Expressz: Mindvégig Agatha,https://i1.sndcdn.com/artworks-zvSEo4rlW1oF7rij-ynhsLA-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/agatha,"Shirin, Gábor, Gergő",2024-11-20T19:52:47.000Z,20 November 2024,58:53,"A Disney Plus-on debütált 2024 szeptemberében a Wandavision spin-off sorozata. Ahogy úgy általában, Gergő, Shirin és Gábor ismét összeült, hogy spoile...","A Disney Plus-on debütált 2024 szeptemberében a Wandavision spin-off sorozata. Ahogy úgy általában, Gergő, Shirin és Gábor ismét összeült, hogy spoileresen kitárgyalja a tizennegyedik Marvel sorozatot is.<br/>"
Filmbarátok Podcast #290,https://i1.sndcdn.com/artworks-8h8gm0D2d8zDk2RM-6WAvRA-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/filmbaratok-podcast-290,"Blacksheep, Gergő, freddyD",2024-11-17T07:45:30.000Z,17 November 2024,3:23:56,"Filmbarátok Podcast #290 (November 2024) 204 perc
Beszélgetnek: Blacksheep, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Borítóképek (00:08:00)
-Nép a...","Filmbarátok Podcast #290 (November 2024) 204 perc<br/>Beszélgetnek: Blacksheep, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:08:00)<br/>-Nép akarata sorsolás (00:20:20)<br/>-Villámkérdés (00:25:45)<br/>-Konklávé (00:51:05)<br/>-És mi van Tomival? (01:10:15)<br/>-A hullahó-akció (01:40:25)<br/>-Anora (01:59:53)<br/>-The apprentice – A Trump-sztori (02:30:53)<br/>-Karácsonyi lidércnyomás (02:51:18)<br/>Csatolmányok: <br/>Freddy Klubrádiós szereplése<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.klubradio.hu%2Farchivum%2Fotos-szalai-krisztaval-es-epres-attilaval-2024-november-13-szerda-1005-45083&amp;token=52cdeb-1-1734813325046"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.klubradio.hu/archivum/otos-szalai-krisztaval-es-epres-attilaval-2024-november-13-szerda-1005-45083"">www.klubradio.hu/archivum/otos-sz…zerda-1005-45083</a><br/>Blacksheep Filmnéző podcast szereplése<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D_PG7BzO4ak4&amp;token=9725e0-1-1734813325046"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/watch?v=_PG7BzO4ak4"">www.youtube.com/watch?v=_PG7BzO4ak4</a><br/>"
Filmbarátok Podcast #289,https://i1.sndcdn.com/artworks-qzhcw3QT6OzTPFPO-cIDiHA-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/289a,"Sorter, Gergő, freddyD",2024-10-31T19:20:46.000Z,31 October 2024,4:03:00,"Filmbarátok Podcast #289 (Október 2024) perc
Beszélgetnek: Sorter, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Borítóképek (00:11:00)
-Nép akarata so...","Filmbarátok Podcast #289 (Október 2024) perc<br/>Beszélgetnek: Sorter, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:11:00)<br/>-Nép akarata sorsolás (00:27:25)<br/>-Villámkérdés (00:31:56)<br/>-Mosolyogj 2 (00:52:00)<br/>-A Caddo-tó (01:07:50)<br/>-Venom – Az utolsó menet (01:22:40)<br/>-Transformers Egy (01:43:40)<br/>-A vad robot (02:02:10)<br/>-A platform 2 (02:38:20)<br/>-Híd Terabithia földjére [SPOILERES] (03:19:45)<br/>Csatolmányok: <br/>A siralmas falfestős jelenet<br/><a href=""https://gate.sc?url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DtC-ZJX50S4g&amp;token=c59ed4-1-1734813329248"" rel=""nofollow ugc"" target=""_blank"" title=""https://www.youtube.com/watch?v=tC-ZJX50S4g"">www.youtube.com/watch?v=tC-ZJX50S4g</a><br/>"
Filmbarátok Podcast #288,https://i1.sndcdn.com/artworks-2OYjDCwyF1i05Ake-TPryiQ-t500x500.jpg,https://soundcloud.com/filmbaratokpodcast/288a,"Blacksheep, Sorter, Gergő, freddyD",2024-10-17T19:09:55.000Z,17 October 2024,4:01:03,"Filmbarátok Podcast #288 (Október 2024) 241 perc
Beszélgetnek: Blacksheep, Sorter, Gergő, freddyD
Téma: 
-Felvezető (00:00:00)
-Borítóképek (00:08:45)...","Filmbarátok Podcast #288 (Október 2024) 241 perc<br/>Beszélgetnek: Blacksheep, Sorter, Gergő, freddyD<br/>Téma: <br/>-Felvezető (00:00:00)<br/>-Borítóképek (00:08:45)<br/>-Nép akarata sorsolás (00:16:30)<br/>-Villámkérdés (00:21:25)<br/>-Két magányos farkas / Wolfs (00:47:12)<br/>-Joker: Kétszemélyes téboly (01:02:20)<br/>-Fekete pont (01:33:25)<br/>-Ne oldozz el (02:12:53)<br/>-A szer (02:25:35)<br/>-Megalopolis (03:06:16)<br/>-Fellini-Satyricon (03:31:40)<br/>Csatolmányok: <br/>Egy kiragadott Satyricon jelenet <br/><a href=""https://gate.sc?url=https%3A%2F%2Fx.com%2FFilmbaratokPod%2Fstatus%2F1844412918143779029&amp;token=71b922-1-1734813333650"" rel=""nofollow ugc"" target=""_blank"" title=""https://x.com/FilmbaratokPod/status/1844412918143779029"">x.com/FilmbaratokPod/status/1844412918143779029</a><br/>"
Filmbarátok Expressz: A hatalom gyűrűi (2. évad),https://i1.sndcdn.com/artworks-u1zM649Ba4XrMIgF-QqAmmQ-t500x500.png,https://soundcloud.com/filmbaratokpodcast/hatalom_gyurui_2,Filmbarátok Podcast,2024-10-09T17:58:48.000Z,9 October 2024,1:25:02,"Visszatér az Amazon Prime Gyűrűk urás spin-off előzményorozata, épp elég ok, hogy Shirin, Gábor és Gergő újra megvitassák, hogy tudta-e tartani az els...","Visszatér az Amazon Prime Gyűrűk urás spin-off előzményorozata, épp elég ok, hogy Shirin, Gábor és Gergő újra megvitassák, hogy tudta-e tartani az első évad színvonalát<br/>"
